signevent,q1,q2,unid,id,outcome_class,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,Emoji
I am taking my 2 sons to see my sister at the weekend. we will go on saturday morningby car.  we have not seen her for a,"we will go to brighton play on the beach, crazy golf and play 2p slot machines on the pier and try to win some sweets or maybe a minecraft cuddly toy. preferably sweets they have too many soft toys already. my sisters 2 daughters might come with us if they are willing to get out of bed.",My son isvery keen to go as he will be getting a late birthday present of a build a bear pokemon character. it is my sisters fault they have too many soft toys!,Nu132009,604,t,1,90,75.9,78.17,13.73,94.19,18,15.56,88.89,47.78,11.11,10,3.33,2.22,0,1.11,3.33,1.11,6.67,12.22,8.89,4.44,5.56,0,15.56,6.67,1.11,0,2.22,3.33,10,6.67,2.22,0,0,0,11.11,4.44,0,3.33,2.22,7.78,1.11,0,2.22,6.67,0,2.22,4.44,0,0,2.22,2.22,0,0,0,2.22,12.22,5.56,2.22,1.11,4.44,1.11,1.11,12.22,3.33,11.11,3.33,3.33,4.44,0,7.78,1.11,0,0,0,0,0,0,0,0,0,6.67,4.44,1.11,0,0,0,1.11,0,0,0,0,0,0
Taking my three babies to see the clipper event in town to view all the intresting boats,Taking a day in town to see all the boats that our visiting for the clipper event and spending our body weight in over expensive fudge.,Clipper event held in derry every year offering stalls and activities,lT388206,605,t,1,37,98.79,94.74,84.25,25.77,18.5,18.92,81.08,37.84,8.11,5.41,0,5.41,0,0,0,2.7,8.11,16.22,0,0,5.41,0,13.51,0,0,0,0,5.41,0,0,0,0,0,0,10.81,0,0,0,0,5.41,0,0,0,0,5.41,0,5.41,2.7,0,2.7,5.41,2.7,0,0,2.7,10.81,5.41,0,2.7,2.7,0,2.7,2.7,0,27.03,2.7,13.51,10.81,0,0,0,5.41,0,0,0,0,0,0,0,0,2.7,2.7,0,0,0,0,0,0,0,0,0,0,0
My 25th birthday next Wednesday,"I'll be spending the morning with my little boy having a special birthday breakfast and opening presents. Then in the afternoon I'm going out for a meal with my work colleagues and friends, we have decided to go to a Chinese all you can eat restaurant. Then in the evening I'll be having a girls night with my best friends and really letting my hair down",My date of birth is 25/07/1993 which means next Wednesday is my 25th birthday. I've booked the day off work so I can make the most of it!,CE409808,606,t,1,96,67.53,41.76,99,65.25,24,18.75,95.83,55.21,15.63,13.54,11.46,1.04,1.04,0,0,2.08,9.38,13.54,13.54,2.08,6.25,0,18.75,4.17,2.08,1.04,4.17,2.08,2.08,2.08,0,0,0,0,8.33,0,4.17,1.04,1.04,6.25,2.08,1.04,0,1.04,1.04,1.04,0,0,0,0,4.17,0,0,0,4.17,8.33,4.17,3.13,2.08,1.04,0,1.04,15.63,5.21,22.92,2.08,7.29,13.54,4.17,2.08,0,1.04,0,0,0,0,0,0,0,0,11.46,3.13,1.04,0,0,0,1.04,0,0,4.17,0,2.08,0
Going for a walk in the village we will be moving to in a few months with my partner and baby daughter.,"We will drive over to the village, Chinnor, and first visit our new house which is currently under construction. After seeing what stage it is at we will explore the village and maybe the surrounding area to get a feel for the place. We may go for a drink or some lunch before heading home.",My partner is called Megan. My daughter is called Isla. This will be our first purchase of a house and because of the area we can only afford shared ownership. We currently live fairly close by in a town called Wallingford but can't afford to buy anywhere in this area.,DN207641,607,t,1,105,79.28,93.61,94.27,43.09,15,15.24,91.43,55.24,13.33,8.57,1.9,6.67,0,0,0,4.76,8.57,14.29,9.52,2.86,5.71,0.95,19.05,2.86,1.9,1.9,1.9,0.95,0.95,0.95,0,0,0,0,14.29,0.95,0.95,0.95,0,10.48,1.9,0.95,0,5.71,0,2.86,1.9,0.95,0,0.95,2.86,0,0.95,0,1.9,14.29,8.57,1.9,2.86,0.95,0,3.81,12.38,4.76,23.81,4.76,12.38,6.67,0.95,0.95,2.86,1.9,0,0,0,0,0,0,0,0,9.52,6.67,1.9,0,0,0,0,0,0,0.95,0,0,0
I have just started playing ukulele so I will spend the next week practicing my c scale and songs within that scale.,"I am practicing different techniques within the c scale, such as finger picking and strumming patterns",the Songs I have been learning in the key of c are ‘you are my sunshine’ and ‘amazing grace’,Sa026759,608,t,1,35,60.73,28.39,43.37,99,35,25.71,80,54.29,11.43,11.43,8.57,0,2.86,0,0,0,8.57,11.43,14.29,2.86,8.57,0,22.86,8.57,5.71,0,0,0,8.57,8.57,0,0,0,0,2.86,0,0,0,0,8.57,2.86,2.86,0,0,0,2.86,8.57,2.86,2.86,2.86,2.86,2.86,0,0,0,2.86,0,2.86,0,0,0,2.86,11.43,0,5.71,0,5.71,0,5.71,2.86,0,0,0,0,0,0,0,0,0,0,14.29,0,2.86,0,0,0,0,0,5.71,5.71,0,0,0
Going hiking with my boyfriend,"We are going to catch a train from Lund to Helsingborg on Monday morning. From there, will take a bus either to Mölle or Arlid. When we arrive at either of these towns, we will begin our hike to the Republic of Ladonia, a territory in southern Sweden that a private person has declared as an independent state, even though this obviously isn't the case in fact. When we finish exploring Ladonia, we will hike down to Arlid, and take a bus back to Helsinborg, and from Helsingborg, take the train back to Lund.","A location tag on Google Maps showing that Ladonia exists as a concept, and confirmation from my boyfriend of our plan.",pQ006438,609,t,1,115,91.49,80.77,83.97,25.77,23,17.39,77.39,53.91,10.43,6.96,0.87,6.09,0,0,0,3.48,9.57,19.13,5.22,6.09,7.83,0.87,11.3,3.48,3.48,1.74,0,1.74,0,0,0,0,0,0,8.7,0,0.87,0,0.87,7.83,0.87,0.87,0,0.87,1.74,4.35,0.87,0.87,0,0,0,0,0,0,0,11.3,6.96,0.87,0.87,2.61,0,0,6.96,4.35,20.87,5.22,10.43,6.96,0,1.74,0,0,0,0,0,0,0,0,0,0,13.04,4.35,7.83,0,0,0,0,0,0,0.87,0,0,0
Motorcycling to a small town to meet a friend and try a new cafe,"I will ride my Triumph motorbike from my house in Glasgow, North on some lovely roads and scenery to a small town in Perthshire.  I will meet my friend on her bike on the way and we will go to a small village to eat at a new cafe that we have heard is good for lunch.  We've checked the weather and it should be sunny, hoorayy!",I love riding my bike especially when the weather is good and there is a great forecast for this week in Scotland. Check the BBC weather for confirmation.  The cafe is called Hansen's Deli in Comrie - you can check their website.,XZ234908,610,t,1,108,75.9,77.05,64,99,18,15.74,81.48,53.7,14.81,12.04,6.48,2.78,0.93,0.93,0.93,2.78,8.33,13.89,11.11,2.78,4.63,0,15.74,3.7,0,0.93,0,0.93,6.48,6.48,0,0,0,0,10.19,0,0.93,0.93,0,2.78,0,0,0.93,0.93,0.93,0,1.85,0.93,0.93,0,4.63,0,0,0,3.7,11.11,5.56,0.93,1.85,3.7,0,2.78,9.26,2.78,18.52,2.78,12.96,2.78,0,3.7,0.93,0,0,0,0,0,0,0,0,0,10.19,4.63,1.85,0,0,0,0.93,0.93,0,1.85,0,0,0
"I will be celebrating my eldest's birthday on Friday, a quiet affair with cake presents","My daughter and granddaughter will come round to my house and i will give her a small present as she has had one already, and then she will eat some cake. I can't have the cake as i am vegan.","She was born on the 20/07/98 at 8.10pm on a Saturday evening, when i was 23.",BT938144,611,t,1,59,21.06,43.26,76.95,25.77,19.67,10.17,98.31,61.02,16.95,16.95,10.17,0,0,6.78,0,0,6.78,10.17,15.25,3.39,11.86,1.69,22.03,6.78,3.39,1.69,11.86,1.69,0,0,0,0,0,0,11.86,3.39,0,10.17,0,3.39,0,0,0,1.69,0,1.69,1.69,1.69,0,1.69,5.08,0,0,0,5.08,1.69,0,0,1.69,0,0,8.47,13.56,6.78,20.34,1.69,6.78,11.86,0,0,1.69,0,0,0,0,0,0,0,0,0,15.25,6.78,3.39,0,0,0,0,0,0,1.69,0,3.39,0
Celebrating my brothers birthday who is turning 17 having a party at home,Friends and family will be coming in the afternoon for food and celebrations of his birthday with present opening and a barbecue,We have been planning the party for a while and it's a very average kind of activity to possibly lie about,eM046290,612,t,1,43,84.1,94.81,12.01,69.6,43,25.58,93.02,58.14,6.98,4.65,0,2.33,0,2.33,0,2.33,11.63,16.28,11.63,4.65,11.63,0,13.95,2.33,0,0,0,2.33,2.33,2.33,0,0,0,0,13.95,2.33,2.33,0,2.33,6.98,0,0,0,6.98,0,0,0,0,0,0,2.33,0,0,0,2.33,13.95,11.63,4.65,0,0,0,2.33,9.3,6.98,16.28,2.33,4.65,9.3,0,6.98,2.33,0,0,0,0,0,0,0,0,0,2.33,0,0,0,0,0,0,0,0,2.33,0,0,0
barbecue for stepdads birthday on saturday at t5pm,going to brechin after work at 5pm for a barbecue for my stepdads birthday with family and friends,its his birthday friday and drinks and food etc are all bought and i have a lift arranged for getting back after as theres no public transport,aW929287,613,t,1,45,80.54,67.16,58.07,25.77,45,20,88.89,53.33,8.89,6.67,4.44,0,0,2.22,0,2.22,4.44,20,6.67,4.44,11.11,2.22,13.33,6.67,6.67,0,2.22,2.22,0,0,0,0,0,0,11.11,4.44,2.22,0,4.44,2.22,0,0,0,0,2.22,0,0,0,0,0,4.44,0,0,0,4.44,8.89,4.44,2.22,0,2.22,0,2.22,8.89,2.22,20,4.44,4.44,13.33,2.22,4.44,2.22,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Going out to a restaurant for my partners birthday.,We are going to our local Frankie and Benny’s for a meal for my partners birthday on Friday night. We are meeting our friends there at 6pm for something to eat before going to watch a film at our local odeon.,"My partner was born on the 20th July 1988, which shows that it is his birthday that day. Frankie and Bennys is next door to the odeon cinema.",ei480327,614,t,1,69,83.62,97.02,86.2,25.77,17.25,13.04,91.3,53.62,18.84,11.59,2.9,7.25,0,1.45,0,7.25,5.8,17.39,7.25,1.45,2.9,0,13.04,2.9,1.45,1.45,4.35,0,0,0,0,0,0,0,14.49,0,4.35,0,1.45,1.45,0,0,0,1.45,0,0,2.9,2.9,0,0,2.9,0,0,0,2.9,11.59,11.59,0,0,0,0,2.9,8.7,2.9,26.09,2.9,10.14,13.04,1.45,2.9,1.45,0,0,0,0,0,0,0,0,0,8.7,5.8,1.45,0,0,0,0,0,0,1.45,0,0,0
On Friday morning I am meeting three of my best friends outside my house at 9.30am to go out for breakfast.,"Three of my friends and I have decided to go out for breakfast on Friday morning because one of my friends is leaving the country next week to go and live in the States.  She has been in the UK for the past 3 years and has become a close KnitSib (a friend who knits).  We meet up weekly to knit and gossip and eat cake.  On Friday we have decided to spend our last weekly meet up together at our favourite breakfast spot in time.  Where we will eat waffles, drink coffee, knit and, most probably, cry.",Two of my friends have to drop their children off at school before we meet for breakfast and it will take them until 9.30am to do that and then get to my house to pick me up to walk to town.,Rp466352,615,t,1,140,88.29,92.33,95.88,15.69,23.33,12.86,94.29,55,12.86,10.71,4.29,4.29,0,0.71,1.43,2.14,4.29,21.43,7.86,1.43,7.86,0,20,2.14,1.43,1.43,4.29,0.71,2.14,0.71,1.43,0,0,0.71,14.29,0,2.86,0.71,0,5,2.14,1.43,0,1.43,0,0,0,0,0,0,6.43,0,0.71,0,5.71,15,10.71,0,2.86,1.43,0,2.86,15,2.14,25.71,3.57,12.14,10,0.71,1.43,0.71,0.71,0,0,0,0,0,0,0,0,9.29,5,2.86,0,0,0,0,0,0,0,1.43,0,0
Configuring home automation platform.,Program home automation platform to do things automatically for me such as turn on and off lights and appliances at the appropriate times.,I have made some progress on this and enjoy the challenge of getting everything to work.,Ic168340,616,t,1,39,90.53,39.87,63.54,97.19,19.5,25.64,92.31,56.41,12.82,5.13,5.13,0,0,0,0,7.69,5.13,23.08,5.13,2.56,10.26,0,12.82,5.13,2.56,0,0,2.56,5.13,5.13,0,0,0,0,2.56,0,0,0,0,7.69,0,2.56,0,2.56,2.56,0,2.56,2.56,0,0,0,0,0,0,0,10.26,0,7.69,0,2.56,0,2.56,10.26,0,17.95,2.56,12.82,2.56,7.69,0,2.56,0,0,0,0,0,0,0,0,0,5.13,5.13,0,0,0,0,0,0,0,0,0,0,0
Visiting my brother and nephew.,I live a few hours away from my brother and I don't have much money/time to visit normally. My nephew is 3 and I love getting to see him. On Friday I will take a train and a bus to their house and spend the day with them.,I don't think there's is anything definitively convincing that I could say.,Mk639273,617,t,1,61,31.06,37.15,62.75,56.75,15.25,9.84,96.72,59.02,21.31,18.03,13.11,0,0,1.64,3.28,3.28,6.56,11.48,13.11,1.64,6.56,3.28,26.23,1.64,0,0,1.64,3.28,1.64,1.64,0,0,0,0,13.11,3.28,0,0,4.92,9.84,3.28,0,3.28,1.64,1.64,0,3.28,1.64,1.64,0,3.28,0,1.64,0,0,6.56,3.28,0,0,3.28,0,0,19.67,1.64,11.48,1.64,3.28,6.56,0,0,1.64,3.28,0,0,0,0,0,0,0,0,13.11,6.56,0,0,0,0,0,0,0,4.92,0,1.64,0
"Playing the video game ""Overwatch"" with a few close friends tomorrow evening.","A group of 3-4 close friends and I will join an online voice communication channel to chat while playing a first person shooter video game named ""Overwatch"", by Blizzard Entertainment. We will be matched with an opposing team and required to either attack or defend points, escort payloads, and battle in ""king of the hill"" formats.","The detailed information given about the plans, game and services used should suggest truthfulness. My age is 28, and I am male, so my demographic should also match the activity.",fG736887,618,t,1,86,79.72,79.22,5.92,25.77,21.5,23.26,83.72,43.02,5.81,5.81,4.65,1.16,0,0,0,0,9.3,9.3,8.14,3.49,10.47,0,15.12,1.16,1.16,0,3.49,2.33,6.98,3.49,3.49,0,2.33,0,13.95,0,1.16,0,2.33,8.14,1.16,1.16,2.33,1.16,1.16,2.33,2.33,1.16,1.16,0,0,0,0,0,0,18.6,10.47,3.49,4.65,0,1.16,3.49,4.65,3.49,5.81,0,2.33,3.49,4.65,9.3,0,1.16,0,0,0,0,0,0,0,0,17.44,4.65,6.98,0,0,0,0,1.16,4.65,0,0,0,0
Going swimming,I'm going to take my son swimming as he has only been once and needs to get comfortable in the water,"I have shaved, bought a new costume and arm bands for my son",NF462872,619,t,1,34,59.32,50,47.25,79.41,34,8.82,94.12,52.94,14.71,14.71,11.76,0,0,2.94,0,0,5.88,14.71,11.76,2.94,8.82,0,26.47,8.82,2.94,0,2.94,0,2.94,2.94,0,0,0,0,11.76,5.88,0,0,8.82,2.94,0,0,2.94,0,0,0,0,0,0,0,5.88,2.94,0,0,2.94,5.88,0,0,0,5.88,0,5.88,17.65,2.94,14.71,5.88,2.94,5.88,0,5.88,0,2.94,0,0,0,0,0,0,0,0,5.88,0,2.94,0,0,0,0,0,0,2.94,0,0,0
swimming,i will go to the local swimming pool before work to swim at least a mile,"i will set off to work an hour early,as i also work at the swimming pool. i will swim at about 40 minutes and would expect to swim abou 1800 meters i  that time.",Es524642,620,t,1,51,93.26,16.34,99,25.77,25.5,5.88,96.08,52.94,11.76,9.8,9.8,0,0,0,0,1.96,7.84,21.57,7.84,3.92,5.88,0,9.8,7.84,5.88,0,3.92,1.96,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,5.88,0,0,0,0,7.84,7.84,35.29,11.76,13.73,9.8,5.88,13.73,0,0,0,0,0,0,0,0,0,0,5.88,3.92,1.96,0,0,0,0,0,0,0,0,0,0
Martial arts lesson,"On a one-to-one basis I watch and then copy the master's movements, focussing on form and breathing. After this I will practice on the heavy bag.","I can't give reassurance in words, although I can with images.",YQ604588,621,t,1,37,82.06,8.84,99,75.85,12.33,21.62,81.08,56.76,13.51,10.81,10.81,0,0,0,0,2.7,8.11,16.22,5.41,0,10.81,2.7,5.41,5.41,2.7,0,0,0,2.7,2.7,0,0,0,0,5.41,0,0,0,0,8.11,0,2.7,0,0,0,5.41,8.11,5.41,0,2.7,2.7,2.7,0,0,0,2.7,0,2.7,0,0,0,0,13.51,5.41,18.92,2.7,10.81,5.41,2.7,0,0,0,0,0,0,0,0,0,0,0,24.32,8.11,5.41,0,0,0,0,5.41,0,5.41,0,0,0
"Having a family celebration with my fiance, his family and my family",We are all going to meet up in a bar in town for a few drinks and just to chat. My stepdad has not yet met my fiances parents.,We have had this organised for a number of months as my stepdad has had to take time off work for this.,ap956528,622,t,1,51,85.92,88.03,77.28,25.77,17,9.8,96.08,62.75,13.73,9.8,5.88,3.92,0,0,0,3.92,5.88,23.53,11.76,3.92,3.92,1.96,19.61,3.92,1.96,0,0,3.92,0,0,0,0,0,0,17.65,5.88,1.96,0,3.92,3.92,0,0,0,0,1.96,1.96,0,0,0,0,3.92,0,0,0,3.92,19.61,13.73,1.96,1.96,1.96,0,5.88,13.73,1.96,17.65,1.96,9.8,5.88,1.96,5.88,0,0,0,0,0,0,0,0,0,0,5.88,5.88,0,0,0,0,0,0,0,0,0,0,0
On Monday at 10am I am having my hair cut at an expensive salon,"I will leave my children with my mother and head into town to the salon for 10am. I will be given a drink when I arrive, and whilst my hair is being washed, cut and dried I will be listening to live music as they have a grand piano in the salon.",That sadly having my haircut is the most exciting thing I have planned in the next 7 days! Being child free and having me time is very exciting for me at the moment!,Vg899619,623,t,1,85,42.68,24,88.59,70.09,21.25,7.06,95.29,61.18,16.47,14.12,12.94,0,0,0,1.18,2.35,8.24,11.76,16.47,2.35,8.24,0,23.53,8.24,2.35,1.18,2.35,1.18,7.06,4.71,2.35,0,0,1.18,5.88,1.18,0,1.18,0,1.18,0,0,0,1.18,0,0,4.71,0,2.35,1.18,5.88,2.35,2.35,0,1.18,5.88,0,1.18,2.35,2.35,0,2.35,11.76,3.53,15.29,2.35,5.88,7.06,0,2.35,0,1.18,0,0,0,0,0,0,0,0,7.06,2.35,2.35,0,0,0,2.35,0,0,0,0,0,0
taking my grandson for a lovely country walk with a picnic,we live in a wonderful area surrounded by wildlife and may wild flowers I want to teach him all about nature,"the weather is going to be perfect for a picnic, and its a free day out that is also very enjoyable",zl878355,624,t,1,42,79.28,68.29,6.5,99,42,16.67,85.71,57.14,11.9,7.14,2.38,2.38,0,2.38,0,4.76,9.52,16.67,9.52,7.14,7.14,0,16.67,7.14,0,0,0,2.38,9.52,9.52,0,0,0,0,4.76,0,0,0,2.38,9.52,0,0,2.38,2.38,4.76,0,0,0,0,0,2.38,0,2.38,0,0,7.14,2.38,0,2.38,2.38,0,0,14.29,4.76,14.29,2.38,9.52,2.38,2.38,0,0,2.38,0,0,0,0,0,0,0,0,2.38,0,2.38,0,0,0,0,0,0,0,0,0,0
On Saturday it will be my best friend's birthday,After she finishes work we will most likely go out for drinks to celebrate her birthday,She will be turning 28. We have known each other since our first day of school when we were four years old.,lb195101,625,t,1,38,42.26,99,81.22,25.77,19,10.53,97.37,52.63,21.05,18.42,0,10.53,0,7.89,0,2.63,0,15.79,13.16,2.63,2.63,0,21.05,5.26,5.26,2.63,7.89,5.26,0,0,0,0,0,0,21.05,0,0,7.89,0,13.16,2.63,2.63,0,5.26,0,2.63,0,0,0,0,2.63,0,0,0,2.63,18.42,13.16,7.89,0,0,0,5.26,13.16,5.26,28.95,2.63,2.63,23.68,5.26,5.26,0,0,0,0,0,0,0,0,0,0,5.26,5.26,0,0,0,0,0,0,0,0,0,0,0
Going to school to see the learning my children have done over the past term,I get to watch videos or take part in my children's learning for around an hour. There's usually fun activities to do too,It usually starts at 2pm and if it's finished before 3pm we get to take our children home early. yesterday I went to see my eldest daughters work about Mexico.the children made a Mexican feast for the parents and we did a fun quiz at the end,Jh674639,626,t,1,71,83.99,75.94,83.15,77.59,23.67,16.9,92.96,52.11,12.68,9.86,5.63,4.23,0,0,0,2.82,8.45,16.9,5.63,8.45,5.63,0,19.72,5.63,1.41,0,2.82,1.41,2.82,2.82,0,0,0,0,11.27,2.82,0,1.41,0,8.45,1.41,1.41,1.41,5.63,0,2.82,4.23,4.23,0,0,0,0,0,0,0,16.9,5.63,1.41,4.23,5.63,0,7.04,15.49,0,18.31,1.41,5.63,11.27,4.23,4.23,1.41,0,0,0,0,0,0,0,0,0,8.45,4.23,0,0,0,0,0,0,0,4.23,0,0,0
I will be looking after my three horses.,I have 3 horses in a field near my house. Due to the heat water and grass are in short supply. It's hard work at the moment.,"My little car is a well known sight trundling down to the field, 2 to 3 times a day.",ns318962,627,t,1,46,98.23,25.7,98.89,66.89,11.5,2.17,84.78,50,8.7,6.52,6.52,0,0,0,0,2.17,13.04,17.39,8.7,2.17,2.17,0,10.87,4.35,0,0,6.52,0,2.17,2.17,0,0,0,0,0,0,0,0,0,2.17,2.17,0,0,0,0,0,4.35,2.17,0,2.17,2.17,0,0,0,2.17,4.35,0,2.17,2.17,0,0,2.17,10.87,0,26.09,2.17,15.22,8.7,2.17,0,2.17,0,0,0,2.17,0,0,0,2.17,0,13.04,8.7,2.17,0,0,0,0,0,0,2.17,0,0,0
most sunday I go for a meal with by brother and sister inlaw,"we normal go to the same restaurant every week, but is nice to spend time , with family of the same age, and to talk about , what has happened in the past week, we have a nice meal, and it is very relaxed , and calm .","if I was telling a lie , I would not have a lot to say, I am not a very good lier.",sD590733,628,t,1,65,65.46,43.89,33.6,99,32.5,6.15,96.92,60,10.77,7.69,4.62,3.08,0,0,0,3.08,10.77,12.31,12.31,4.62,7.69,3.08,20,9.23,3.08,1.54,0,3.08,7.69,7.69,0,0,0,0,9.23,1.54,0,0,0,10.77,0,0,3.08,3.08,1.54,6.15,1.54,0,1.54,0,3.08,0,0,0,3.08,7.69,4.62,0,1.54,1.54,0,4.62,15.38,0,10.77,1.54,1.54,7.69,0,4.62,1.54,1.54,0,0,0,0,0,0,0,0,16.92,3.08,13.85,0,0,0,0,0,0,0,0,0,0
Going to the theatre with my partner,"I live in Buxton and at the moment we have a fringe festival going on. On Sunday, I am going  to see 2 ladies perform Strife in a Northern town at the Underground Clubhouse with my Partner.
The 2 performers take on a multitude of characters and the write up of it looks very good.","The show has had a review by Johnathon Ross, he said it was ""a festival highlight"" on the BBC radio 2 arts show.",KR646923,629,t,1,78,99,64.99,55.26,89.84,19.5,15.38,85.9,51.28,8.97,6.41,3.85,1.28,0,1.28,0,2.56,14.1,17.95,6.41,1.28,2.56,0,16.67,0,0,0,3.85,0,3.85,3.85,0,0,0,0,6.41,0,1.28,1.28,1.28,0,0,0,0,0,0,0,7.69,5.13,2.56,0,1.28,0,1.28,0,0,6.41,2.56,0,1.28,2.56,0,3.85,10.26,2.56,19.23,2.56,14.1,2.56,5.13,5.13,0,0,0,0,0,0,0,0,0,0,10.26,5.13,2.56,0,0,0,0,0,2.56,0,0,0,0
"I am going to the zoo with my friend, Clara. We will be there from 10am until 4pm.","For my friend, Clara's birthday we are going to the zoo for the day. She loves animals and especially the pandas. Where she lives there are no pandas in the zoo near her but in the city where I live we have the pandas.","Clara is coming from Glasgow (an hour away from where I live in Edinburgh). She's getting the early train through so we can make a real day of it. We are planning to walk around the zoo, see the pandas, have a picnic in the grounds so i imagine we'll be there until 4ish in the afternoon. There is also a zoology talk Clara is keen to go to in the lecture theatre.",Bd795685,630,t,1,117,84.33,82.65,63.54,58.1,16.71,11.97,85.47,62.39,11.97,11.11,3.42,4.27,0,3.42,0,0.85,13.68,17.09,10.26,9.4,5.13,0.85,17.95,0.85,0,2.56,0.85,0,1.71,1.71,0,0,0,0,10.26,0,0.85,3.42,0,3.42,0.85,0.85,0,0,0.85,0.85,0.85,0.85,0,0,3.42,0,2.56,0,0,7.69,5.98,0.85,0,0.85,0,0,17.09,3.42,21.37,3.42,11.97,5.98,0.85,0.85,0,0,0,0,0,0,0,0,0,0,12.82,5.98,2.56,0,0,0,0,0,0,2.56,1.71,0,0
On Saturday I will be going to our local park called nine springs between 12 and 3 o'clock to play Pokemon go with my son,"We will be walking around the park as there is 3 Pokemon stops and one Pokemon gym there, We will also be going to the play park, we will be setting off a Pokemon lure module off on one for the Pokemon stop and we will also got to the pub in the park called Coopers mill for our lunch, the weather is going to be very hot so we will be taking lots of drinks and sun cream with us",It is something that we do one most Saturday as it's my son's favourite game and it insures lots of walking and fun,NR768670,631,t,1,104,43.96,95.81,10.47,78.6,104,12.5,86.54,58.65,13.46,8.65,0.96,7.69,0,0,0,4.81,6.73,14.42,14.42,6.73,9.62,0,21.15,4.81,2.88,0,3.85,2.88,2.88,2.88,0,0,0,0,10.58,0.96,0,0,0.96,3.85,0,0,0,3.85,0,0,0.96,0,0,0.96,2.88,0,0,0,2.88,12.5,8.65,0,0,1.92,1.92,1.92,9.62,6.73,12.5,3.85,4.81,3.85,0,5.77,0,0,0,0,0,0,0,0,0,0,4.81,0,2.88,0,0,0,0,0,0,1.92,0,0,0
playing board games     dancing,Board games entertain and bring me and the family together through competitive and cooperative game play.               Dancing for fun,Board Games are Monopoly Chess Checkers Life Clue Scrabble Mancala,Ar991165,632,t,1,29,84.23,95.75,26.55,99,14.5,34.48,89.66,27.59,3.45,3.45,3.45,0,0,0,0,0,3.45,6.9,3.45,0,10.34,0,10.34,3.45,0,0,0,0,10.34,10.34,0,0,0,0,20.69,3.45,0,0,0,3.45,3.45,0,0,0,0,0,0,0,0,0,3.45,0,3.45,0,0,31.03,24.14,3.45,6.9,0,0,0,6.9,0,10.34,6.9,3.45,0,3.45,37.93,3.45,3.45,0,0,0,0,0,0,0,0,3.45,3.45,0,0,0,0,0,0,0,0,0,0,0
Going to the shops to buy some new furniture,"On Friday, I will be going to IKEA to view furniture for a bedroom that has just finished being decorated, as well as a new wardrobe for a different bedroom to replace a wardrobe which is falling apart","If this was the best lie I could come up with, I must be the most boring person on the planet",AN770424,633,t,1,59,89.5,19.85,56.85,57.83,59,16.95,91.53,61.02,10.17,5.08,5.08,0,0,0,0,5.08,11.86,18.64,15.25,3.39,5.08,0,20.34,11.86,8.47,1.69,0,1.69,5.08,3.39,1.69,0,0,0,1.69,0,0,0,0,10.17,0,0,5.08,3.39,1.69,5.08,1.69,1.69,0,0,0,0,0,0,0,3.39,0,1.69,3.39,1.69,0,3.39,8.47,3.39,16.95,6.78,6.78,3.39,0,1.69,5.08,0,0,0,1.69,0,0,0,1.69,0,5.08,0,5.08,0,0,0,0,0,0,0,0,0,0
Hosting Friends at the weekend,Friends are coming to my Flat on Saturday afternoon. We will go out for some drinks and then I will cook dinner for everybody in the evening. We will then have some beers and chat into the evening.,The friends are a couple coming from Bristol. She is a friend of my girlfriend and we have only met him a handful of times.,Sd817125,634,t,1,63,75.9,97.14,76.81,25.77,12.6,15.87,98.41,61.9,14.29,12.7,4.76,4.76,0,3.17,0,1.59,9.52,15.87,12.7,1.59,7.94,0,19.05,1.59,0,0,0,4.76,0,0,0,0,0,0,19.05,0,6.35,1.59,1.59,4.76,0,0,0,3.17,1.59,0,1.59,0,0,1.59,6.35,0,0,0,6.35,14.29,14.29,0,0,0,0,1.59,9.52,11.11,23.81,4.76,7.94,11.11,0,6.35,0,0,0,0,0,0,0,0,0,0,7.94,7.94,0,0,0,0,0,0,0,0,0,0,0
