signevent,q1,q2,unid,id,outcome_class
I’m taking my partner and daughter to the zoo.,"I’m taking my partner and daughter to the zoo as she’s never been before, so she’s going to be very excited to see the tigers. We’re going to Conwy Zoo near my parents in Wales so she can spend some time with her grandparents too. Wales is a beautiful place so it’ll be a lovely holiday for us all.","Last time I went to this Zoo, the penguin display wasn’t there, which was disappointing. I’ve read that they’ve also done up their aquarium section since I last went, so that’ll be really fun for me. My partner loves reptiles so I might just leave him there for a while whilst I take my daughter to the kids show in the afternoon.",Wm391120,834,d
Visiting my best friends foster kittens,My best friend has just started fostering kittens to earn some extra income. I am so excited to be going round to visit them all this week and have kitty cuddles!,"She first started fostering kittens since working at our local pdsa. Seeing animals being treated so badly really tugged at her heartstrings, so now she gives neglected animals a better life.",vO885063,835,d
A weekend in Lake District,"This weekend my girlfriends and I are going to the Lake District. With the heatwave still going strong, we decided to take some time off to spend skinny dipping and bbquing. It will be amazing even if it's only for the weekend.",I have made a booking on Booking.com and of course all the pictures illI be posting on my social media.,Bu647257,836,d
I am trying to train my dog to be less afraid of cars.,"My dog (Heidi) gets very scared of the traffic going by our house.  I am taking her to obedience classes to try and teach her that cars are safe, as long as she stays away from the road","Heidi was hit by a car when she was a puppy, which broke her leg.  Luckily she recovered, but still limps when walking.  As a result, she has been terrified of cars ever since.  She is making good progress though, and can now walk along the roadside in relative comfort.",TE621907,837,d
Visiting my friend who has just fostered some kittens,"My friend was previously living in a flat and wasn't allowed animals. She has now bought a house so was looking to get a new pet. However, the cat sanctuary down the road from her said they were looking for volunteers to foster new kittens and make sure they are well socialised before being adopted. She works from home and is quite a charitable person so she thought this would be a better way to give back than buying a kitten herself.","You can contact the cat shelter if you like, the one involved is Blue Cross Burford Rehoming Centre",Gi081310,838,d
I will be celebrating my sister's 30th birthday in the next few days. I have decided to take her to Jamie's Italian,In the next few days I have decided to take my sister to Jamie's Italian restaurant to celebrate her 30th birthday. She usually eats here with her partner but myself and her close friends will be surprising her. We've called ahead and hopefully we will have banners and balloons on the table too. My sister doesn't like fuss so it will be interesting to see her reaction. ,I had tickets to see Tom Jones in York and have had to cancel with it being her birthday.  My sister is aware I have these tickets but doesn't know that I've sold them on.,fg346800,839,d
Painting with friends at a local cafe,We are going to be painting my friends cafe. Shades of creams and pastel pinks/blues to match her design for her cafe ,Friends will support these statements as it’s her cafe. Pictures of paint tins ,Fl740716,840,d
Mentoring a new start up ,I’m overseeing my wife’s new startup of her beauty salon . I have a levels in business management and I’m currently self employed and she wishes to do the same we have managed to secure a premesis and we are in the final stages of getting the salon ready for it’s grand opening on Sunday ,There is a page on Facebook for the grand opening and you can collaborate with my wife and her employees they would be able to inform you that I am overseeing the whole venture and mentoring my wife to make sure she is as successful as possible ,NA928233,841,d
I am looking forward to searching out and caatching a Mewtew on a Pokemon Raid,"As an avid Pokemon player, catching a mewtew is something I've wanted and needed for ages. A group of players (who I've met and become friends with while playing) will be heading out in a few days to an area we have heard is most likely to have a mewtew. We will have a social gathering afterwards to celebrate our catch at a local pub.",I have been playing pokemon go since it first appeared on android - I even signed up to be notified as soon as the download was available. It's become a hobby.,eo545590,842,d
on sunday my family and i are going to a local event called festival of heroes at a nearby roman villa,on sunday my family and i are going to a festival event were we will watch festival of heroes. were we will see 33 characters lots of stalls and rides. kids tent and entertainment ,"there is over 33 characters at the event, free kids tent, entertainment arena filled with shows and fun.",jM787832,843,d
I'm meeting up with friends to go on a pokemon go raid to catch a mewtwo,I've had the pokemon go app for a few years but only picked it up again this summer. I've been doing pretty well with it but me and most of a group of my 10 friends who use the app haven't caught a mewtwo yet. Wednesday's the only day when we're all free to try catching it so we're meeting up at the park in town to try and get it together.,I've got the app installed and it shows that I'm missing a mewtwo. You can only do this by working together with friends and obviously it's hard to find a time when so many of us are free so that's why it's important to me this week.,Xv865503,844,d
I’m going to a folk festival ,I’m going to a folk festival near Cambridge and I’m going to be seeing some of my all time heroes play for the first time for a long time.,"I’m going to see some acts that I have previously seen at a local pub before they were well known, including some folk groups who have got back together especially for this festival. A one and only chance to see them play together again.",nl586371,845,d
Getting a Swedish massage at a day spa,"I walked in to the spa and they didn't have any record of my appointment.
So the person I requested online was busy, only one person was available, an older woman in her forties with massive arms and masculine face. She didn't have much English so didn't realize I wanted the Swedish massage, she ended up giving me a deep tissue sports massage and I could barely walk afterwards, my muscles were so sore.",If you check the staff records for the spa you should see who was assigned to me on the day. Also my bruises after the deep tissue massage!,vg210166,846,d
Celebrating my sisters birthday,"We are going to a restaurant, a local pub, called the Red Lion. It’s the pub in our local village and it’s my sisters favourite restaurant because they serve the most amazing bannoffee pie, which is her favourite. Myself and my husband are driving to my parents house, where my sister is staying and then opening her presents there before going to the pub.","The red lion is a pub in Warmington, Peterborough. My sisters birthday is on the 28th July and we have a booking at the pub tomorrow evening at 7pm. My sister will be 35 years old tomorrow.",Hr272750,847,d
I am going to cat cafe in Glasgow for some lunch then heading to the cinema for a movie,"I have a friend who lives in Glasgow and they told me about an amazing cat café. I am a crazy cat lady so jumped at the chance to visit both my friend and the cats. We're having lunch with the kitties then going on to the cinema, to make a full day of it. Super excited!","I am a crazy cat lady, who loves movies, cafes and short breaks. I have a friend in Glasgow so it's a perfect trip.",tC340433,848,d
I'm going to my friend's house. She is a foster parent for kittens until they find a home and I might adopt one.,My friend has 2 black kittens right now and I was looking for a black cat. I'm going there to visit the kittens and maybe take one home with me.,I've been looking for a black cat at the shelter but they haven't had any and luckily my friend got 2 black foster kittens. So I'm gonna go check them out and see if I like either of them to bring them home.,PK426030,849,d
"In need to travel to Sheffield to see an old friend, Christian, we met at uni and try to meet up a few times each year, ","We will be celebrating Christian's birthday with a meal at Rafter's Restaurant, his wife and my partner will also be there, it will be the first time Christian has met my partner as we have only been dating for six months","I can show you my train tickets, pre booked for the journey and I'm sure the manager at Rafter's will confirm our reservation if necessary",dr454888,850,d
My wife is due to give birth to our fifth child on Thursday by c section. It is both exciting and frightening!,"This is our fifth child, and due to my wife's age she will be having a c section on Thursday. This is both exciting and frightening at the same time. ","We are booked in on Thursday, the doctor assures us its a straight forward procedure due to her age. We are both a little worried but the thought of a new member to our family out weighs the worry of the operation.",hM514206,851,d
I am going to a pokemon raid to catch a mewtwo,I am going to a pokemon raid in Cardiff city centre with my best mates Alice and Fran to catch a Mewtwo. ,"You can even look up the pokemon raid event on facebook, it is taking place at the motorola  arena on saturday.",Gk907464,852,d
Going on a roadtrip through Wales with a motorcycle,I planned this roadtrip with my boyfriend and it is really one of the most desired roadtrips we wanted to go onto. ,"My boyfriend is from Wales, and since he has been away from home for years, a roadtrip would be the best idea to alleviate that homesickness.",uF831461,853,d
Car training with my dog,"My dog frustrates me to high heavens with how scared he is of cars/traffic in general. He barks at all kinds of moving traffic and gets so frightened of being in a car that be very occasionally poops in the car which is not nice for him and not nice for anyone else in the car, or me having to clean it. For this reason, this week I will be taking him to car training where his confidence will be built up to happily be around cars and traffic and hopefully be able to sit in the car without being frightened. According to the trainer, this course will involve confidence building exercises and ‘placing the car lower in the heirachy’. Supposedly some dogs can’t place cars in this and by owners yelling at and berating the car it will show dogs that it is a lesser being and they are not to be afraid. I am really looking forward to shouting at my car without any judgement! ","The idea of dog training is so ludicrous I don’t think I could lie about it if I wanted to, I wouldn’t even know where to begin describing what it involves and would think the concept is utterly farcicle.The poop stains in the boot of my car are also convey a very true story ",bX764701,854,d
I go to an aerial aerobics class and I am currently working on a routine that I will perform at the end of this year.,"I have been going to my class every Monday and I first started at the beginning of the year because I wanted to find a fun and interesting way to get fit. Next Monday, I will be working on a routine that I will performing at the end of the year. I'm very nervous but super excited about it! ",The class is called 'Flying Fun' and is held in a yoga studio that also does aerial yoga classes and hot yoga. There are around 10 of us and we help each other out as it can take a lot of focus and strength to work on some of the routines. ,ST701059,855,d
"On Sunday, my family and I are going to a ""Convention of Heroes."" ","On Sunday, my family and I are going to a convention where we are going to dress up as our favorite heroes. We have been planning to go since last Month and we have our tickets ready for Sunday. My family and I plan to get there early so that we can eat breakfast and go to the convention right after. Since we are a family of five, we plan to dress up as the characters based on the Disney film, The Incredibles. I plan to go as Dash, my dad is going as Mr. Incredible, my mom as Elasti-girl, my older sister as Violet, and my little baby brother as Jack-Jack. This is going to be so much fun and I can't wait to show up dressed at the convention along with other guests attending the convention.","My family and I are going this Sunday. We have bought the tickets in advance because the convention is popular among fans and guests attending, and I have been wanting to go since last year. Also, my birthday is coming up in about a week, and my parents thought it was a great idea they would be able to take me to the convention this year since we have been saving up our allowance to afford the tickets.",Wj403162,856,d
Going to visit my friends foster kittens ,"My friend has recently fostered two adorable kittens from a shelter, they have names them coco and chanel I can't wait to see them they look so cute in the photos she's sent me!",I have the photos to show the two little kittens which my friend sent me when she picked them up from the shelter.,bj931863,857,d
I am going to  to visit my niece  who I  don't get to see often.,This coming Friday I will be going to Pennsylvania to visit my niece Rachel who I only get to see once a year due to the fact I live 2500 miles away from her. This is not just any day but her birthday she turns 6 this year and me and her family plan to make this one memorable. Since this is very big and expensive i can not miss my flight and ride so this why this is the most important leisure activity within the next week .,"My niece's name is Rachel.
She lives in Pennsylvania.
Her parents are my wonderful brother and his beautiful wife of 5 years.
I'm flying delta this Wednesday in economic class to get there on Thursday.
It's a 4 hour flight",Vg517123,858,d
Going bowling with my family.,My two daughters and I plan to go bowling in the next couple of days. We are going to have some lunch and then a game. This is a special birthday treat for my youngest daughter. ,We will take a few pics of our special lunch as well as some selfies and post our pics on to Facebook...because if it didn't happen on Facebook it didn't happen - right :) ,hA435017,859,d
Going for a walk in the Peak District with my girlfriend on the weekend,"I'm planning to drive to the peak district with my partner, and go for a nice walk. Don't have much more planned than that, depends on the weather as well, if it's raining we'll probably give it a miss.","We'll be driving from Manchester taking the A6 I think and the drive took about an hour and a bit last time I did it. Probably be leaving early in the morning and bring some sandwiches with us, or maybe stop for lunch on the way back.",YZ545745,860,d
I am going to meet my old work colleagues for lunch on Friday,"I will be travelling to London on Friday to meet some old friends from my previous job. We're going to meet up near Finsbury park, since one of my friends lives there and so knows the best places to eat out. We will then go back to his house to play some board games .","I meet up with them fairly regularly, every couple of months or so, and we always do this because this closely mirrors the dinner and board games we would do whilst working at my previous job.",Es670556,861,d
I'll be taking my 2 children out on their bikes tomorrow,I have 2 children (twin girls) who have just got their first bikes. We're all going out tomorrow (Saturday) so that they can practice.,"It was the twins' birthday last week and they've got brand new bikes (pink for Violet and blue for Ivy - though the girls are identical they like to wear different clothes and have belongings in different colours) I promised them that we'd all go out at the weekend so that they can practice on their bikes in the park (more room than in the garden, and they're NOT allowed to cycle on the lawn anyway!)",fy156498,862,d
I am going to a music festival with my girlfriend and I will be playing with my band on the Sunday.,"At the weekend I am going to a local music festival which I attend every year. I am going with my girlfriend and a group of friends who I play in a band with. On the Sunday, our band is playing on the second stage.",I play bass guitar and sing in the band. The band has been together for 14 months.,ft978209,863,d
A real highlight for me is coming up this weekend attending our local car boot sale.,It's in a field off Edgwarebury lane and held at 2pm Sunday afternoon. I browse from car to car what bargains are to be had and sell my own items too. ,"I've got the boot stocked up with old clothes, used books and odds and ends to sell. It's amazing what people will buy and I often come back with £100 or so!!",oz830047,864,d
Painting in a cafe with friends,Once a  month me and two friends of mine Catherine and Emily meet up to in a local cafe to take part in there espresso and impression promotion. We've always had an interest in art and the cheap coffee is a bonus.,My interest in art started at a young age and as such pursued art GCSE and fine art a level ,VZ589409,865,d
Go to a cat cafe in Glasgow to eat then to  cinema for a film,"Going to have lunch with my daughter, at a cat cafe in Glasgow , we will have lunch there, then catch a bus to a small cinema to see a French arts film","The cats cafe is owned by a couple who have taken in and cared for several cats and they run the cafe with the cats  in situ, so they may be sitting at a table with you or climbing up the ropes provided for there entertainment",Sx502162,866,d
Swimming with my swimming club on Monday from 7 to 8:30 p.m.,I'm going swimming with my swimming club this coming Monday from 7 to 8:30 p.m.,"Its a regular date I attend every Monday, so I don't need to block it in my calendar; I always go to the pool straight from work",Fx713192,867,d
"Taking my children to a build a bear workshop, to build a bear each with the vouchers i got for them","I will take my three children to the build a bear workshop (in Westfield Shepherd's Bush). I got vouchers for a 25% discount from the back of a cereal box. We're going this Saturday and it will be a surprise, so hopefully they will enjoy it!",The Build a bear workshop is in Westfield Shopping Centre. I called the workshop last week and booked them to go at 11:30. The vouchers were from Kellogg's cereal boxes and i collected three (one for each child) in the last month (- my kids eat a lot of cereal!),ky336451,868,d
Going to the library with my husband to downloads books,We usually get up about 7ish have breakfast(Love tea and toast) and head out about 8.45am .The journey takes q0 minutes to our library so we are usually there just as it opens which we prefer as its more quiet.I am planning g to download the sequels to a couple of crime fiction books I have read. MY husband usually like a his how to manuals and autobiographies .We spend about 2 hours there as we usually have a little read as well.,The journey times is 10 minutes from our home and the library is open on a Friday from 9 am till 9pm .it usually shouts at 5.30pm but Fridays is late night.,PQ700275,869,d
mentor a new member of staff,We are working in a care situation and tina is following my lead on an introduction to a new client.,"Tina is a student and thinking of going on to being a nurse in the future, it is very important that i give her the right impression of what a job in the care sector means",vC599544,870,d
Going swimming with my daughter,"I will be taking my 8 year old daughter swimming this Saturday. We'll be going early in the morning, as it's generally a lot quieter at that time, and my daughter is always up early watching cartoons anyway (5am!). I'm trying to teach her how to swim in the deep end before she starts her new school in September as they have swimming lessons there twice a week.","We'll be paying £9.60 combined to go swimming for as long as we want to. We'll probably only be there for 2 hours at most as my daughter isn't a strong swimmer and will probably tire herself out before long. That works out fine though because the pool will start getting busy around lunchtime, and I really hate the amount of screaming from all the young kids! I have to also pick up some talcum powder before then as I've run out (I must be one of the only people left who still uses talcum powder!). It's so that we can put our swimming caps on easier. I'm not sure what else I can say really. Oh but when we leave the pool and have gotten changed, I treat my daughter to a chocolate bar from the vending machine on the way out, so she has a nice little treat to always look forward to when I take her swimming!",mG417458,871,d
"I will be going on a camping trip with my daughter, her friends and their kids.",I will be preparing for our camping trip by taking everyone to the local store that sells camping equiptment. Thankfully our vehicle is big enough to hold all of this equiptment and the catch up shows featuring survival experts mean we know what we need and what to expect for our trip. The camping trip will take place at a nearby camping ground with lots of activities and fun to be had.,We have booked time off and reserved a spot at the nearby camping location. Much planning has gone into what we can expect from the venue and the activities best suited to us all as a family. We already have a camper van for this particular trip which we recently hired.,Yq368550,872,d
On Sunday I am going to catch a Mewtwo in a Pokemon Go event in town,"I've been playing Pokemon Go for ages now and they've finally created an event to let players catch Mewtwo. I'm super excited because, obviously, Mewtwo is the most powerful Pokemon of the original 151 (Mew included). Players have been waiting for this event for ages and it's finally here! ","Only that I've been playing Pokemon Go for about 2 years, and that of course I'm going to goto the event, why wouldn't I? Mewtwo is LEGENDARY!",eZ926145,873,d
Go to visit a friends foster kittens ,A friend messaged me yesterday with a picture of 3 gorgeous little kittens. she then explained that she is fostering these kittens until they find a forever home. She knows I love cats/kittens so I’m so excited to go see them! ,My friend works for an animal shelter and often fosters animals in her own home till these animals find their forever homes. At the moment she has 3 gorgeous tabby kittens ,pV247427,874,d
Meeting with an old work colleague for dinner on Friday ,"I haven’t seen my old work colleague since I left my last job, we were pretty close but work commitments got in the way of us meeting up. We both have a day off on Friday so have arranged to meet up for lunch at Nando’s and a few cocktails after. I’m very excited as it’s been so long since I seen her but I know it’ll be like we’ve never been apart when we see each other ",We’ve booked a table at Nando’s for Friday and will then go on to have cocktails ,KK268940,875,d
I’m going to car train my dog. She is afraid of traffic,"My dog, Gizmo, always whimpers and shakes in the backseat whenever she’s in the car. I want to expose her to it more often to get her acclimated to it.","My dog’s name is Gizmo. She’s a Australian cattle dog, and a little high strung. She like stimulation, but being in a car doesn’t do it for her. I’m gonna start her off slow and drive around town to car train her. Once she’s comfortable with that, we’ll eventurally get to driving during rush hour",OD291396,876,d
Attending the birth of my second child via C-section,Well on Monday my girlfriend goes into hospital for a c-section. She had our first child naturally but due to a lot of complications she not able to do so again as it would be too dangerous. I'm actually more worried this time around as I saw how much pain she had to endure last time. The thought of her being cut across her stomach scares me a lot too.,"We'll be attending Newham General hospital, in the same ward (Sheila) she had our first baby. My name is Jim, she's Marie, French-German (what  a combo!). Our boy is called Francis, and this one (a girl) will be called India.",ua062499,877,d
sgow with a friend to have lunch and then to the cinema afterwards ,I'll be going to the cat cafe for something to eat and then to the cinema to catch a film ,"I've not been to a cat Cafe before, my friend Nicola is a crazy cat lady and  thinks i need to be converted. So we are going to have lunch and hopefully if we have time afterwards we are going to watch Incredibles 2. ",nh813581,878,d
I am going to the lake distract for a long weekend,"I will be going to the lake distract for a long weekend. We're going to take out our boat, and be on the lake most of the time. We will be staying in the bay port inn as well.",We will be leaving today after my husband gets home from work. We are going to pick up our boat and then will be on our way.,gO267340,879,d
Going on a Pokemon Go Raid to catch Mewtwo.,"Pokemon players get together to battle against Mewtwo and win the raid. It's a new feature in the game.  My friend is going to join in too, going to try and catch Mewtwo on Saturday.  I have tried so many times on my own but just can't do it so need to Go Raid.","Go Raid is a new feature in the Pokemon game, Mewtwo can't be caught unless we use this feature.  All my friends are going to join the raid too.",xR919186,880,d
Going to the zoo this weekend with my partner and out daughter,We have a family pass to get into the local zoo so we try to use it as much as possible.  My daughter has just finished school for the summer holidays and my partner has time off work this weekend so we wanted to do something we would all enjoy.  There is a good weather forecast for saturday so hopefully it will stay that way whilst we're at the zoo.,We are attending Paignton zoo where you can have membership passes as a family. My partner gets every other weekend off so we always try to do something as a family when he is off. There is a good weather forecast for this weekend that is not too hot and sunny but warm enough to be able to do an outdoor activity.  If the weather changes the zoo has many indoor parts to it making it a good location for unpredictable weather.,AQ220514,881,d
My friends and I will be going on a hiking trip - we are going to climb to the top of a pike and have a picnic there.,"We will be climbing Scafell Pike Mountain - we love hiking but we expect this to be somewhat challenging, so as an extra incentive we will be having a picnic at the top.","We booked our hike on TripAdvisor months ago, so we got a really good deal (£30 p/p). We need to be at The Turning Circle in Seathwaite for 10am and it is a full day trip, so the picnic will definitely be something to look forward to!",rc974412,882,d
I will be going to visit my brother and sister in law as they have just had a baby.,"I will be going to visit my brother as he and his wife have just had a baby, due to the distance this is the first chance I have had to meet baby Kian. ",Baby Kian is special because my brother and his wife had been trying to become pregnant for about 5 years. The family are seeing him as a miracle baby.,YG559568,883,d
I am attending a folk music festival tonight,"I am attending Raunds Music Festival in Suffolk tonight with my old work colleagues Bev and Paul. Bev is driving as she is on antibiotics so can't drink! However me and Paul are sneaking vodka in our water bottles to save a bit of money (have you seen the prices of alcohol at festivals!). There will be hot and cold food and real ale (which I might try for the first time, depending on how expensive it is), and some comedy acts are performing as well as the musicians. Mount Eerie are playing (I love them!) and Brandi Carlile who I have never seen but I have heard good things. I think it is child friendly but I'm leaving my daughter at home so I can let my hair down!","I can show you our tickets! I paid for them all online and Bev and Paul gave me the cash. So I have the tickets, the receipt (emailed) and an online bank statement to show the transaction. I bought the tickets from Ticket Master on 13th June 18.",Ey531389,884,d
"I'm going to stay with my cousin, Sam, in her flat in the Canary Islands, it's near the beach.  Can't wait.","I love the Canary Islands, especially Tenerife, and my cousin, Sam, who I used to spend loads of time together when we were younger, she's just bought a flat there, minutes from the beach, and I'm absolutely over the moon.  I'll have to make sure I don't annoy her and then, hopefully, I'll be able to pop over and see her.","Sam, is my mother's sister's only child and we grew up together in Cheshire.  She's a good girl and wasn't as rebellious as me and we only got back in touch through Facebook.  We've been out for a ""pie and a pint"" and has she changed, OMG, she's nothing like her teenage years.  She's working over in Los Christianos, the south side of Tenerife, where all the action is.  Should be good times.",pw610620,885,d
Painting with a friend at a local cafe. ,"I have always wanted to paint, but never got round to it before. A local cafe is running evening classes and I have been invited to attend by a friend. I will attend my first paint class in the next week and am thoroughly looking forward to it. ",The painting classes take place on a Tuesday and Thursday evening at 7pm. Lessons run for two hours until 9pm.,ng948699,886,d
I am going to the lake for a long weekend. We love going because we get to relax and ride in the boat. ,I have a place on the lake 4 hours north of my house. It is very relaxing and fun. The whole family is going up for a long weekend so that we can have some quiet time and get away from it all. We're going to ride in the boat and have s'mores at night. I'm so excited and can't wait to get there. ,We have had this place for 15 years now. Bought it just after we got married. We found this little tiny town when we were going somewhere and loved it so much that we bought a vacation home there. ,iI897894,887,d
Meeting with old work colleagues on Friday,"I am meeting a group of work colleagues from the accountancy I used to work at. We are meeting at the local pub, the Red Lion, at 7pm on Friday.","The names of my former colleagues are James, Lewis and Robert. The local pub, the Red Lion, is situated roughly a mile from the accountancy I used to work at. ",ad845748,888,d
"Playing D&D, I'm going to really try to get in to character :)","D&D (Dungeons & Dragons) is one of my favorite past-times with friends... you know, the classic fantasy tabletop role-playing game?  Just hope I get to be a grand wizard this time","Like I say, I really hope I get to be a wizard when we create out characters... an argument usually breaks out between players at this stage and I end up being a warlock or something else... I wonder if we'll have time to design our own adventure this week?  If not we'll just play one of the stories we've used before... ",rN075855,889,d
My daughter has been away for a long time and I will be picking her up at the airport.,She'll be arriving at Manchester airport in the morning. I hope to get there a little early  in case there is traffic. Maybe we'll be lucky and there will be no flight delays; it's been too long since we've seen each other!,"The flight is scheduled to arrive Sunday at 07:55. Beyond that, there is little evidence I can give you over some text on the Internet.",Nr950432,890,d
I will be car training my dog as she is afraid of traffic.,"On Saturday morning I'm going to start by taking my dog out for a short drive (about 15 mins or so). I'm doing it in the morning because there'll be a little less traffic and I can go a tad slower, so hopefully she can get used to the feeling of being in a car and having other cars around. I'll start with the windows closed and see how she does with that first. Later in the evening I'll repeat this again to see if she does any better. I'm going to give her a little treat to hopefully take her mind off it, too!","I don't know how to give evidence without attaching photos, but I can give some more info on my dog. She's a Dachshund and is only a year and a half old - she's never really ridden in a car before except for the first time we took her home, when she was terrified and peed in my lap (haha). We took her to the vet in a car the other day and she freaked out and panicked - luckily our vet is only ten minutes away. Since we're driving up to Hampshire in 2 weeks for the weekend, we want to make sure she has a comfortable and smooth journey. Hence, I'll be car training her!",RZ163841,891,d
"I am participating in an aerial silk class, I am practising for a performance at the end of the year on monday","I participate in an aerial skills class where I do aerobatics in the air and tricks, it is very skilled and requires a lot of practice and commitment. The performance has a lot of technical tricks that are very difficult and involve me being very flexible and agile. I also like the class because it improves my fitness. I am nervous at the moment because I have a performance at the end of the year, I will be rehearsing on Monday. ","I practice for two hours each week, and pay £100 a session, you can buy tickets for my performance online using the classes website, you will also see pictures of me performing in the class.",rm013381,892,d
Going for a walk at the Lake District with my Girlfriend.,Me and my Girlfriend have planned a weekend break to go away to the Lake District for next week.,I had arranged this as a present for her birthday on the 2nd of July. But next week was the best rate I could get. We had both agreed we wanted to get away from the city for a while.,Js196681,893,d
Creating a starwars light,I am going to follow a DIY I found on Pinterest to create a star wars light,I'm really excited to make the light as I have never followed a pinterePi DIY before.,xe670303,894,d
I am going to read continously for 12 hours from 9.00 to 21.00,"I love reading and can never find enough time for my favourite occupation but now I am going to make time. A whole 12 hours of reading, happiness for me!",I love reading so much that this will be an easy task for me.,oU232808,895,d
"I'm going to catch up with a friend at a cat cafe in Glasgow on Tuesday, for lunch and then a movie at the local cinema","On Tuesday, I'm going to catch up with a friend I haven't seen for ages in Glasgow, and we're having lunch at a cat cafe, and then off to see a movie at the local cinema - so a great afternoon out!","This is my first visit to this new cat cafe, which shall be an interesting experience, and as I haven't seen my friend for ages it will be a great girlie chinwag over lunch, followed by a wee visit to see a movie, at the cinema just round the corner.  I'm so excited!",wi458759,896,d
Going out to a camping trip with my daughter and her friends,It would consist of me getting the correct materials and a tent for camping at our closest camping site so we could enjoy being surrounded by nature to try and get away from the usual crowded cities.,"I have a daughter and she has friends. She wishes to go camping, there shouldn't be anything else to reassure you.",YE857323,897,d
Go swimming at 7am with my family,Im going to go swimming at my local pool with my brother and sister. We are going at 7am as it's the quietest time,I have texts on my phone to confirm arrangements and also an email from the pool centre confirming,Ql297662,898,d
I am off to the cat cafe in Glasgow on Tuesday and then going to the cinema,I am going to travel from Newcastle to Glasgow on the train - which I love doing and then off to the cat cafe for some food. Have heard they do really a really good lunch menu. Afterwards am off to see a film but haven't decided which yet.,I am catching the 10.30 train from Newcastle to Glasgow. ,fn651386,899,d
"In the following week, my most important, specific leisure activity is to travel to car boot sales and look for bargains","I live on the border of the countryside where there are a lot of car boot sales in parking lots/fields near my house. I travel to all that I can that are within a fair distance to my home. Once there, my main focus is to find shiny gifts and unique trinkets that I can use as a present for my girlfriend or sometimes just a close friend. My second goal is to find rare items such as old VHS tapes, classic video games or (usually) expensive comic book issues.","I recently purchased a copy of ""Animal Farm"" by George Orwell that was being sold for £2 at one of my last car boot sales. I still have it on the shelf.",wu175354,900,d
It is my sisters birthday and I am taking her out for a meal to a nice restaurant she likes,"It's my sister's birthday next week, to be fair to her she's a pretty good sister and since her husband is away on business this week I thought it would be nice to take her out for a meal to celebrate as otherwise she'd have been on her own.  I know she likes Portuguese food (as she used to live there) and there's a pretty good Portugeuse restaurant nearby so I booked us a table there","My sister's birthday is the 30th July 1980, she spent a year in Portugal as part of her degree and her husband has a pretty important job (I have literally no idea what he does) but it means he has to go away a lot and he's away next week.  Because of all of these things I'm treating her to a meal out to celebrate",cp812916,901,d
Meet my nephew Kian for the first time.,My sister and her husband have had their first child (Kian). I have three daughters and Kian is the only boy to be born into the family for quite some time. My daughters and I are very excited to be going up to Birmingham at the weekend to see the baby for the first time.,My sister and her husband were convinced that they would be having a girl as myself and our other 3 sisters all have girls. We are just so excited that we finally have a little boy in the family. I am sure little Kian will be spoilt by all us aunts and all his girl cousins. ,uT373701,902,d
"One day this week my wife and I will visit my sister to see Kian, my newborn nephew.",My sister gave birth to Kian a few days ago and she has been in a lot of discomfort due to the hot weather and doctors attending to other people during the heatwave. It is still hot and we are going to offer help during this hot weather.,Kian was born on 20th July at 13.42pm. I don't know his weight but I know my sister was a fan of Westlife. ,RD979497,903,d
"Yes,","Going to the library with my husband, in the morning, from 9-11am - to download book.","It's something we do about once a fortnight, making use of Overdrive software - which allows us to download books onto either our phones or Kindles.",cC396248,904,d
I will be going swimming with my daughter.,"My daughter Jane, aged 3, is very excited about going swimming to the 'big pool'. She will want to put on her swimming costume as soon as she wakes up in the morning.  We will drive to the pool , which is a large family pool with a wave machine, lazy river, slides etc.  Jane will probably spend most of the time in the kiddie pool on the medium-sized slides.  She isn't big enough for the big slides, but she can swim with me in the main area (she wears arm bands) and we can float down the lazy river. Jane will want to go under the waterfall.  We will probably spend a couple of hours in the pool, then go to the cafe for lunch.",My daughter's swimming costume is yellow with a watermelon design on it.  It has a little skirt and yellow ties at the shoulder.  The pool is called Wyndham Aqua Centre and it is about a 20 minute drive from our house.  I have been working a lot lately so I am really looking forward to having a day with Jane.,Bb989858,905,d
I am going to visit my niece who lives far away from my home town.,I will leave on Tuesday to visit my niece at her home. It's a 200 mile journey by car. I don't get to see her very often so I am excited to travel there for a visit.,"My niece's name is Mary Anders. She's 30 and has 2 children.  Her mother is my sister, Ann.  ",YR555423,906,d
Mike and I are going to the library to download some books. I dont want to have to buy them on Amazon.,"We are planning on going to the library on Saturday from 9 to 12. I have some books I've been wanting to read but I don't want to purchase them on Amazon or anything. I figured I could download them all at once so I would have some to read for a while, plus they're free. It will be a nice trip to get out of the house. We can grab lunch down the street."," I'm hoping they have all the books available that I want. If not, Ill have to scour the internet for  the best prices.",Xt362687,907,d
I am meeting my Nephew Kian,"On Saturday I will be meeting my new nephew Kian for the first time, he was born a couple of weeks early so was a bit of a surprise.
My two girls are really excited to meet him, they have video called him (with his mum's help) and now can't wait until Saturday.","Kian was in the special care baby unit for 3 days and then allowed home, he receives daily visits from the health assistant as his stomach isn't properly developed.",Ep843196,908,d
